שם,קטגוריה,תת-קטגוריה,אזור,גילאים,הקשר/ציטוט,מקור,טלפון_להוספה,אתר_להוספה
"ד""ר יאיר ווליוביץ","אבחון והערכה","נוירולוג ילדים / רופא התפתחותי","הרצליה (רח' דוד המלך 1)","3-6, 6-13, 13-18","נוירולוג ילדים, התפתחות הילד, אבחון אוטיזם ו-ADHD","web-research: perplexity sonar-pro + medreviews/infomed","",""
"רונית קאופמן","טיפולים ומטפלים","פסיכולוגית","חיפה והכרמל","כל הגילאים","פסיכולוגית — גם אונליין","web-research: perplexity sonar-pro","",""
"יוסי כץ","טיפולים ומטפלים","פסיכולוג מומחה","חיפה והכרמל","כל הגילאים","פסיכולוג מומחה — גם אונליין","web-research: perplexity sonar-pro","",""
"אלה שניידרמן","טיפולים ומטפלים","פסיכולוגית קלינית","חיפה והכרמל","כל הגילאים","פסיכולוגית קלינית — גם אונליין","web-research: perplexity sonar-pro","",""
"דפנה בר שביט","טיפולים ומטפלים","פסיכולוגית קלינית","חיפה","כל הגילאים","פסיכולוגית קלינית בחיפה","web-research: perplexity sonar-pro","",""
"ציפי חיימוביץ","טיפולים ומטפלים","פסיכולוגית התפתחותית","חיפה","3-6, 6-13","פסיכולוגית התפתחותית בחיפה","web-research: perplexity sonar-pro","",""
"שירן בנימין","טיפולים ומטפלים","פסיכולוגית התפתחותית","חיפה","3-6, 6-13","פסיכולוגית התפתחותית בחיפה","web-research: perplexity sonar-pro","",""
"ד""ר נינה ייחילביץ","אבחון והערכה","רופאת ילדים / נוירולוגיה / התפתחות הילד","נתניה (מרכז פנינה, חיים לבנון 1)","3-6, 6-13, 13-18","רופאת ילדים, נוירולוגיה והתפתחות הילד","web-research: perplexity sonar-pro + medreviews","",""
"ד""ר עאידה הייב חלייחל","אבחון והערכה","נוירולוג ילדים / התפתחות הילד","נתניה (מרכז פנינה, חיים לבנון 1)","3-6, 6-13, 13-18","נוירולוגיה ילדים והתפתחות הילד","web-research: perplexity sonar-pro","",""
"ד""ר חוסאם בדראנה","אבחון והערכה","נוירולוג ילדים","בנימינה (שרון) / צפת","3-6, 6-13, 13-18","נוירולוג ילדים, אבחון אוטיזם","web-research: perplexity sonar-pro","",""
"ד""ר ענת בן ששון","אבחון והערכה","נוירולוג ילדים","בנימינה (הטחנה 42) / שרון","3-6, 6-13, 13-18","נוירולוגיה ילדים — מופיעה בהמלצות לאבחון אוטיזם","web-research: perplexity sonar-pro","",""
"ד""ר רונן חדי כהן","אבחון והערכה","פסיכיאטר / התפתחות הילד","רעננה (מרפאת מומחים רב-מקצועית, התעשייה 5)","6-13, 13-18","פסיכיאטריה והתפתחות הילד","web-research: perplexity sonar-pro","",""
"ד""ר הדס מאירסון","אבחון והערכה","נוירולוגית ילדים / התפתחות הילד","תל אביב (דנה-דואק, איכילוב) + קליניקה פרטית","3-6, 6-13, 13-18","נוירולוגיה ילדים והתפתחות הילד, אבחון התפתחותי","web-research: perplexity sonar-pro","",""
"ד""ר נירית כרמי","אבחון והערכה","רופאה התפתחותית","אבן יהודה (שרון) — פרטי","3-6, 6-13","התפתחות הילד — קליניקה פרטית","web-research: perplexity sonar-pro","",""
"אלון קליניקה לאבחון תקשורת (אוטיזם)","אבחון והערכה","קליניקה רב-תחומית","נתניה / שרון","כל הגילאים","קליניקה רב-תחומית לאבחון אוטיזם","web-research: perplexity sonar-pro","",""
"שני חן אברמוביץ","טיפולים ומטפלים","קלינאית תקשורת","ערוגות (נגב)","3-6, 6-13","המלצות חמות על מקצועיות ואנושיות","web-research: perplexity sonar-pro + doctorita","",""
"יעל ממן","טיפולים ומטפלים","קלינאית תקשורת","באר שבע","3-6, 6-13","פתרון בעיות עם רגישות וסבלנות","web-research: perplexity sonar-pro + doctorita","",""
"אביה רוחמה אטיאס","טיפולים ומטפלים","קלינאית תקשורת","אשקלון","3-6, 6-13","נעימה ומקסימה לילדים, שיפור למידה","web-research: perplexity sonar-pro + doctorita","",""
"סמדר בניטה","טיפולים ומטפלים","קלינאית תקשורת","אשקלון","3-6, 6-13","המלצות חיוביות","web-research: perplexity sonar-pro + doctorita","",""
"אידה לייזרזון","טיפולים ומטפלים","קלינאית תקשורת","אשקלון","3-6, 6-13","ממליצים עליה","web-research: perplexity sonar-pro + doctorita","",""
"הילה לבנה","טיפולים ומטפלים","קלינאית תקשורת","קריית גת","3-6, 6-13","מקצועית מאוד","web-research: perplexity sonar-pro + doctorita","",""
"ד""ר נחום כץ","אבחון והערכה","פסיכיאטר מבוגרים","תל אביב","18+","פסיכיאטר, מאבחן ASD מגיל 18","web-research: perplexity sonar-pro","",""
"ד""ר מייק סטבסקי","אבחון והערכה","פסיכיאטר","תל אביב (ארנון 8)","18+","פסיכיאטר, לעיתים מאבחן מבוגרים","web-research: perplexity sonar-pro","",""
"מרכז ד""ר טל — אבחון ASD מבוגרים","אבחון והערכה","מרכז אבחון רב-תחומי","תל אביב","18+","אבחון ASD במבוגרים על ידי פסיכולוג קליני + פסיכיאטר, כולל ריאיונות ומבחנים","web-research: perplexity sonar-pro","",""
"מכון אפיקים — אבחון ASD למבוגרים","אבחון והערכה","מכון אבחון","תל אביב / מרכז","18+","אבחון ASD למבוגרים בצוות רב-תחומי. דו""ח מוכר לביטוח לאומי + טיפול","web-research: perplexity sonar-pro","",""
"לואי בשארה","טיפולים ומטפלים","פסיכולוג — דובר ערבית","נצרת / ירכא / תרשיחא","3-6, 6-13","טיפול דיאדי לילדים, דובר ערבית","web-research: perplexity sonar-pro + hebpsy.net","",""
"חנאן אבונופל-סרור","טיפולים ומטפלים","פסיכולוגית — דוברת ערבית","נוף הגליל / נצרת","3-6, 6-13","טיפול דיאדי בנצרת","web-research: perplexity sonar-pro + hebpsy.net","",""
"סוהאד עואודה","טיפולים ומטפלים","פסיכולוגית חינוכית מומחית — דוברת ערבית","נצרת והסביבה","3-6, 6-13","פסיכותרפיסטית + טיפול דיאדי","web-research: perplexity sonar-pro + hebpsy.net","",""
"מכון סמאנא — טיפול ואבחון בין-תחומי","אבחון והערכה","מכון רב-תחומי — דוברי ערבית","נצרת","3-6, 6-13","טיפול ואבחון אוטיזם, פסיכולוגי-חינוכי-התפתחותי","web-research: perplexity sonar-pro","",""
"אניס פרחאת","טיפולים ומטפלים","פסיכולוג — דובר ערבית","כרמיאל / נצרת / עכו","3-6, 6-13","פסיכולוג לילדים","web-research: perplexity sonar-pro + hebpsy.net","",""
"ד""ר נאדיה מסארווה","טיפולים ומטפלים","פסיכולוגית חינוכית מומחית — דוברת ערבית","צפון — דוברי ערבית","3-6, 6-13","מטפלת דיאדית בילדים, פסיכולוגית חינוכית מומחית","web-research: perplexity sonar-pro","",""
"ד""ר שאהין ראדי","אבחון והערכה","נוירולוג","צפת (זיו) — מנהל מחלקת נוירולוגיה","כל הגילאים","מנהל מחלקת נוירולוגיה","web-research: perplexity sonar-pro","",""
"ד""ר עלא אבו סאלח","אבחון והערכה","נוירולוג — דובר ערבית","צפת / קריית שמונה / עפולה","כל הגילאים","נוירולוג מומחה בבית זיו + מרפאות בקריית שמונה ועפולה","web-research: perplexity sonar-pro","",""
"ד""ר פירוז נאסר","אבחון והערכה","רופא מאבחן אוטיזם — דובר ערבית","צפת","3-6, 6-13, 13-18","מוזכר בהמלצות לאבחון אוטיזם בצפת (19 חוות דעת)","web-research: perplexity sonar-pro","",""
"ג'יי מדיקל — פרופ' שלומית שליטין","אבחון והערכה","מרפאה פרטית — התפתחות הילד","פתח תקווה","3-6, 6-13, 13-18","פרופ' שלומית שליטין — התפתחות הילד","web-research: perplexity sonar-pro","",""
"ד""ר אלה קוזמינסקי","אבחון והערכה","נוירולוגית ילדים","מרכז / אונליין","3-6, 6-13, 13-18","נוירולוגיה ילדים","web-research: perplexity sonar-pro","",""
"ד""ר אבי ברכר","אבחון והערכה","רופא ילדים / התפתחות","מרכז / שוהם / אונליין","3-6, 6-13","ילדים והתפתחות","web-research: perplexity sonar-pro","",""
"TA'AL — אפליקציית AI לשילוב אוטיסטים בתעסוקה","ציוד ועזרים","אפליקציה חדשנית","דיגיטלי","18+","אפליקציה ישראלית חדשנית מבוססת AI שמטרתה לסייע בשילוב אוטיסטים בשוק העבודה. מתאימה משימות לפי יכולות העובד, מסייעת בהכוונה, בתיאום ציפיות ובתקשורת עם המעסיק.","web-research: https://portal.macam.ac.il/article/israeli-applications/","",""
